A=5691 B=8189 C=7839 X=653846547 Y=9339892237 Z=20771898220 M=5843
A=3130 B=9252 C=7775 X=766336159 Y=7043371682 Z=80236400964 M=4532
A=8301 B=7661 C=9601 X=606013086 Y=5836090013 Z=30995480031 M=2980
A=6106 B=8426 C=5219 X=541878979 Y=1333207157 Z=45919390712 M=1069
A=9359 B=9866 C=9145 X=161463665 Y=8321490893 Z=19808770760 M=1155
A=5400 B=3691 C=8635 X=998196803 Y=6838634481 Z=33352387408 M=3980
A=3471 B=4587 C=8384 X=915193860 Y=5853914875 Z=29362442492 M=5389
A=9927 B=6310 C=7584 X=817701878 Y=8467024318 Z=55081318169 M=3675
A=3388 B=7013 C=5911 X=546164444 Y=2972674626 Z=79362600871 M=4419
A=9884 B=8125 C=7889 X=783619180 Y=5580863664 Z=18669432654 M=3262
A=8117 B=5626 C=5968 X=400834822 Y=5686249232 Z=99190481483 M=4499
A=7092 B=5510 C=5261 X=563497021 Y=2178999184 Z=15524276079 M=3625
A=9319 B=9549 C=5817 X=982857060 Y=2440390098 Z=16300534349 M=1300
A=2555 B=3251 C=9283 X=858224896 Y=1260152487 Z=97079831040 M=9344
A=2965 B=8268 C=7143 X=952028909 Y=2209113622 Z=76155581837 M=9480
A=8908 B=6446 C=8248 X=433515622 Y=7306185142 Z=33224321979 M=7529
A=6239 B=4992 C=5227 X=132976400 Y=4337498159 Z=32031371299 M=3525
A=6651 B=7582 C=9756 X=511140527 Y=5607015234 Z=53393721342 M=5015
A=8930 B=9547 C=9157 X=347338082 Y=9172482470 Z=22688344157 M=1314
A=7785 B=6364 C=7727 X=967983541 Y=6184380526 Z=58862717443 M=8951
A=6513 B=8763 C=6619 X=239502354 Y=5016279889 Z=60113187449 M=7090
A=8594 B=4201 C=5126 X=220291289 Y=7563404995 Z=97153582020 M=2191
A=6182 B=7082 C=7388 X=507333109 Y=3256475621 Z=43624158226 M=8961
A=3713 B=6451 C=6383 X=128962182 Y=8184279517 Z=60634016319 M=9127
A=7258 B=4272 C=9861 X=621280471 Y=9229807002 Z=98434454513 M=1271
A=2260 B=7229 C=8270 X=853662443 Y=5263616374 Z=18648303102 M=2666
A=9047 B=6160 C=9274 X=570546858 Y=4158812996 Z=61477291418 M=7727
A=5023 B=4114 C=8017 X=406891249 Y=1659550365 Z=49647751638 M=7776
A=4904 B=9537 C=9460 X=401580429 Y=4720045953 Z=81472343715 M=9389
A=2230 B=6323 C=9818 X=464198894 Y=9088063543 Z=34291357631 M=1633
A=2271 B=8108 C=6004 X=137013799 Y=6681467329 Z=56015469064 M=3427
A=9807 B=4647 C=6091 X=661386423 Y=7277347109 Z=93223816695 M=1261
A=6362 B=3774 C=9321 X=376345064 Y=4914295451 Z=96798074132 M=7733
A=3552 B=4434 C=5671 X=578508447 Y=3511736297 Z=26492064448 M=1639
A=6198 B=5917 C=7919 X=133784594 Y=2961120227 Z=61034751870 M=3256
A=4221 B=5857 C=7704 X=114296543 Y=5875331697 Z=99163366673 M=2111
A=8908 B=5074 C=6022 X=593640618 Y=8175363678 Z=99154825334 M=1940
A=2804 B=3978 C=7065 X=117565981 Y=4520975139 Z=72080740738 M=7711
A=9140 B=9357 C=9159 X=594362905 Y=7754256085 Z=53671818877 M=4586
A=4000 B=7226 C=8597 X=566231830 Y=4551877429 Z=40435727323 M=2862
A=7986 B=3214 C=7045 X=732894855 Y=9089246483 Z=55566037026 M=3966
A=9697 B=9693 C=6967 X=723628944 Y=6776424471 Z=60263472164 M=2216
A=8152 B=3938 C=5112 X=781889090 Y=3879659801 Z=96640873384 M=2071
A=7975 B=9356 C=8478 X=667260452 Y=8945220002 Z=48245527694 M=5705
A=4985 B=9863 C=9201 X=470047450 Y=4497812289 Z=56920416699 M=5872
A=2000 B=4000 C=8000 X=707829789 Y=1845269529 Z=56706555200 M=2000
A=6633 B=4996 C=7235 X=492016385 Y=7601037507 Z=16818065333 M=8931
A=4328 B=4656 C=9414 X=282935526 Y=7990754350 Z=47441569087 M=2041
A=4161 B=4124 C=6050 X=539052103 Y=7308485229 Z=95058060055 M=2145
A=3386 B=4772 C=6245 X=776755349 Y=3788452216 Z=85653570823 M=1145
A=8614 B=9044 C=9247 X=323827269 Y=9506061943 Z=69761510835 M=1278
A=7626 B=5771 C=5351 X=831764753 Y=6566266045 Z=47742511317 M=8128
A=3981 B=3496 C=6952 X=984335101 Y=9380043118 Z=65633406840 M=8117
A=9199 B=3240 C=9571 X=574799493 Y=5618263590 Z=31790386056 M=8852
A=2323 B=6976 C=6223 X=462402347 Y=6872319344 Z=93186149495 M=5397
A=9233 B=9455 C=6542 X=570281582 Y=3168491059 Z=89300181008 M=9027
A=5972 B=4234 C=6791 X=991933834 Y=8306150529 Z=51854901117 M=2553
A=8026 B=8559 C=7083 X=434464598 Y=8867823426 Z=68492130626 M=6499
A=9241 B=9677 C=8247 X=994444023 Y=4391473710 Z=25735252823 M=7334
A=3450 B=6097 C=6250 X=414197340 Y=3953271322 Z=97056483030 M=7819
A=3315 B=9088 C=8868 X=606412693 Y=6516465962 Z=26485415941 M=3133
A=2315 B=9526 C=7676 X=689373165 Y=7955027257 Z=12747677664 M=1675
A=2192 B=6795 C=6683 X=458105353 Y=5728441874 Z=83199059317 M=3030
A=9303 B=5146 C=6296 X=888915088 Y=7010519307 Z=25353142494 M=4276
A=6483 B=6834 C=9110 X=945960530 Y=4186094183 Z=67459604877 M=9921
A=8989 B=7833 C=8663 X=856566325 Y=6810274682 Z=18261358307 M=8240
A=6040 B=9244 C=9177 X=710254737 Y=5242656292 Z=16465332985 M=4387
A=7194 B=9729 C=5721 X=346357008 Y=5648562161 Z=25108293288 M=6610
A=5852 B=8488 C=5791 X=487899636 Y=2130581254 Z=75050628528 M=8664
A=4646 B=4907 C=7007 X=418782733 Y=3424266021 Z=62792552502 M=4569
A=6489 B=7147 C=9362 X=365296469 Y=7439397358 Z=69288030940 M=2519
A=8560 B=5184 C=5498 X=656759395 Y=9358012026 Z=58124141054 M=5985
A=9356 B=8037 C=5892 X=342507620 Y=6983516559 Z=59998255665 M=3481
A=8522 B=4806 C=5625 X=729531130 Y=6279583033 Z=46315878212 M=1364
A=9063 B=4687 C=8054 X=767213375 Y=8763765174 Z=82660265222 M=3460
A=9239 B=8034 C=6212 X=858337483 Y=6755699762 Z=66577399001 M=5895
A=2467 B=7325 C=9554 X=968049381 Y=8646866362 Z=51534606469 M=3909
A=9635 B=4867 C=6718 X=203371162 Y=9370806241 Z=35507954777 M=9625
A=7745 B=3094 C=9949 X=429734410 Y=6338508200 Z=77507024844 M=4449
A=9257 B=3662 C=9897 X=407175900 Y=8278635603 Z=28064190458 M=5645
A=6423 B=9929 C=5665 X=373758080 Y=7516008547 Z=77588558419 M=5622
A=8295 B=5796 C=8883 X=386288726 Y=2996732442 Z=76472947594 M=4114
A=3433 B=9435 C=8039 X=650707038 Y=4855179606 Z=22987704856 M=1325
A=4923 B=5971 C=7105 X=889689425 Y=7669556595 Z=84749503373 M=3038
A=6708 B=5312 C=9923 X=909086022 Y=4079899318 Z=99079853491 M=5825
A=6990 B=8338 C=7545 X=489451264 Y=9266469669 Z=84586260392 M=5236
A=7460 B=5387 C=8661 X=681757246 Y=8211334809 Z=29147815340 M=9980
A=8919 B=5225 C=8587 X=322481938 Y=9263869415 Z=97011707668 M=7918
A=3834 B=8766 C=5020 X=503046308 Y=3518868278 Z=48501019216 M=4925
A=9092 B=7022 C=7101 X=682203949 Y=9658516261 Z=51325653030 M=8671
A=4585 B=7929 C=5080 X=196707897 Y=1724983578 Z=71129359899 M=3613
A=9428 B=7291 C=9649 X=270234894 Y=2541004453 Z=53178582690 M=2270
A=6957 B=5858 C=8204 X=354657558 Y=9152727278 Z=75945256128 M=3766
A=4670 B=4853 C=7602 X=921473869 Y=1567803316 Z=63554803003 M=8880
A=6978 B=4680 C=8353 X=827494708 Y=5873415230 Z=91483334115 M=6257
A=8705 B=5631 C=7661 X=672823556 Y=6244781904 Z=86461630489 M=7388
A=8333 B=3610 C=6058 X=529052152 Y=4709983905 Z=89592860188 M=1840
A=3765 B=8035 C=5367 X=314649020 Y=1574017600 Z=54344541654 M=3140
A=3337 B=6642 C=8010 X=557315056 Y=1799383342 Z=92291423266 M=8280
A=6318 B=3357 C=6019 X=763549491 Y=2363101618 Z=13740198463 M=9984
A=2715 B=8108 C=9088 X=977659513 Y=1341814231 Z=16236070802 M=3142
A=9556 B=6007 C=6922 X=563287186 Y=8163387181 Z=80806352353 M=5837
A=3585 B=8380 C=7076 X=220242447 Y=5797448903 Z=12174601185 M=6797
A=7696 B=9987 C=7645 X=937293276 Y=2593218260 Z=92257015312 M=6468
A=4977 B=6056 C=8342 X=322708047 Y=2103042911 Z=70430088620 M=4299
A=7097 B=9894 C=5794 X=620427560 Y=9673680644 Z=49675164517 M=9587
A=2189 B=8878 C=9417 X=444793260 Y=8328464641 Z=23153235577 M=4055
A=3408 B=3945 C=9411 X=101550829 Y=1721800809 Z=13335460111 M=5141
A=3695 B=9337 C=6522 X=522100850 Y=6002666221 Z=97276945256 M=2080
A=4112 B=6313 C=9907 X=436407385 Y=9550155067 Z=65915350793 M=1298
A=4444 B=9330 C=8499 X=267340513 Y=4943785183 Z=72169881208 M=5342
A=9109 B=6176 C=5467 X=342634095 Y=7583848420 Z=76643028344 M=5763
A=8243 B=5388 C=5990 X=361884657 Y=2563020446 Z=34518496600 M=4546
A=5265 B=4523 C=7575 X=932648280 Y=2719078901 Z=68577652632 M=6018
A=2599 B=7033 C=6706 X=849000264 Y=1334677361 Z=10883141240 M=6918
A=5280 B=6112 C=7905 X=359899198 Y=1780841423 Z=90828320603 M=8898
A=9370 B=4070 C=6894 X=742327763 Y=7752543509 Z=72321624988 M=7261
A=3299 B=7599 C=6455 X=736572322 Y=2642193178 Z=74914288859 M=6172
A=2633 B=9197 C=7622 X=851810021 Y=7998015935 Z=14192343790 M=6453
A=5779 B=6415 C=9091 X=454295385 Y=2925914970 Z=91369500696 M=2508
A=8376 B=8471 C=5520 X=151447871 Y=3700815029 Z=45618904388 M=2275
A=6963 B=3967 C=5997 X=943753633 Y=5031380833 Z=49159926134 M=8705
A=6991 B=4070 C=6905 X=476586014 Y=3477583343 Z=28969171145 M=1801
A=9805 B=6353 C=8938 X=674734045 Y=7754021675 Z=61479975185 M=6513
A=2044 B=7665 C=7821 X=854305219 Y=6093260621 Z=39856786281 M=2256
A=7479 B=8939 C=9815 X=403118702 Y=9522232607 Z=40829977103 M=4965
A=3986 B=3711 C=8010 X=651761015 Y=4339666395 Z=66376776974 M=8908
A=5417 B=4891 C=9446 X=777457789 Y=6339893269 Z=26490202464 M=3834
A=4592 B=9293 C=6541 X=257188363 Y=2209738758 Z=39630223381 M=1329
A=4543 B=4799 C=9110 X=677183856 Y=5335783112 Z=19135756483 M=1338
A=9821 B=5312 C=5775 X=974910338 Y=9155494044 Z=97649687134 M=6642
A=6081 B=6930 C=5210 X=709950043 Y=5064997169 Z=51433406141 M=9710
A=9564 B=5170 C=7444 X=119612325 Y=8033514643 Z=12214837539 M=5569
A=9970 B=9757 C=8100 X=292724081 Y=8714973164 Z=65389475772 M=8144
A=4542 B=3243 C=7244 X=847365102 Y=1644074341 Z=64343431072 M=9427
A=7465 B=8630 C=7962 X=109958520 Y=4917900013 Z=46328500476 M=9976
A=5738 B=4577 C=6541 X=796297660 Y=4536664127 Z=76335313400 M=9254
A=5878 B=6545 C=5153 X=997219652 Y=1916886341 Z=52321558368 M=1457
A=9222 B=6540 C=5171 X=241368341 Y=4259360585 Z=70744622377 M=4131
A=5251 B=7288 C=6286 X=229096952 Y=6258625552 Z=91900838785 M=3268
A=2940 B=7506 C=9996 X=174131408 Y=4658771364 Z=79409847969 M=3366
A=9766 B=8645 C=6772 X=720990426 Y=1815023840 Z=76144215515 M=2848
A=7100 B=6566 C=5171 X=134925619 Y=9941486855 Z=46411339855 M=7718
A=6806 B=3378 C=8302 X=784723306 Y=2895802584 Z=26379057948 M=1292
A=3785 B=8131 C=5270 X=826290126 Y=3528620429 Z=23224346012 M=5363
A=9006 B=9579 C=6612 X=934646216 Y=7869257686 Z=25165671353 M=2300
A=9941 B=5452 C=8443 X=167958940 Y=5443701138 Z=91740082502 M=1687
A=9793 B=3892 C=5478 X=464416835 Y=3459524969 Z=18892147443 M=6653
A=6702 B=8235 C=9963 X=642754096 Y=1419207668 Z=83295279079 M=7718
A=3195 B=5751 C=6538 X=847821981 Y=9923873535 Z=70054314346 M=4255
A=7835 B=7405 C=8410 X=493788165 Y=4468034303 Z=74318269850 M=6672
A=9697 B=7787 C=9629 X=244029156 Y=6737393682 Z=76376077038 M=9703
A=6590 B=4018 C=5493 X=485630762 Y=2880383171 Z=40430411652 M=3438
A=6561 B=5025 C=9787 X=129661762 Y=2998177483 Z=28518245754 M=6868
A=8311 B=8055 C=5110 X=148501494 Y=5710036745 Z=46860363015 M=7665
A=7844 B=6533 C=6359 X=872075147 Y=5916665876 Z=59461796463 M=3554
A=2651 B=5343 C=5611 X=836887215 Y=6674214586 Z=73332870870 M=2493
A=3507 B=8561 C=6499 X=363631416 Y=6601732769 Z=47076727261 M=7923
A=4450 B=8060 C=6642 X=601462082 Y=5260052638 Z=55169230421 M=1246
A=2164 B=6696 C=5147 X=585302657 Y=8034077113 Z=32343154904 M=4326
A=9934 B=3560 C=7134 X=527301802 Y=7849188288 Z=51972285201 M=4865
A=5819 B=3672 C=5841 X=376233436 Y=9379471752 Z=40682089214 M=2030
A=2216 B=9605 C=5642 X=527294520 Y=9903390229 Z=13465625298 M=8205
A=9056 B=6200 C=5973 X=479865044 Y=1309902828 Z=94222154329 M=4691
A=4689 B=3920 C=5037 X=355537424 Y=8968356648 Z=85354380810 M=4183
A=4798 B=9064 C=9039 X=718477670 Y=1487095054 Z=25008978516 M=7650
A=4969 B=8101 C=9792 X=359521351 Y=2608405076 Z=50734910000 M=5094
A=8910 B=7595 C=5581 X=872004495 Y=4830449866 Z=84093446433 M=9757
A=2410 B=7675 C=5740 X=426204656 Y=2746612950 Z=72693491908 M=8116
A=4548 B=7849 C=6611 X=460753993 Y=5375761265 Z=80859738941 M=4655
A=3432 B=9258 C=7582 X=217940562 Y=2196277269 Z=69089007521 M=8621
A=6050 B=3372 C=8325 X=585511291 Y=8636417820 Z=71100669763 M=5706
A=6043 B=6360 C=6812 X=551820288 Y=3788386731 Z=35987109559 M=7671
A=7140 B=5802 C=8832 X=818560887 Y=9831283027 Z=54881430233 M=2362
A=4065 B=8530 C=6957 X=236903932 Y=7180917645 Z=18800966763 M=2997
A=5710 B=3660 C=8592 X=960228490 Y=7148094379 Z=64273496824 M=2216
A=7506 B=9008 C=8048 X=367173983 Y=7245104422 Z=47980237386 M=3511
A=9579 B=6233 C=9831 X=314338173 Y=5335491724 Z=16903451074 M=1668
A=3192 B=5997 C=7597 X=198970619 Y=7557051584 Z=92116750153 M=5630
A=3055 B=7251 C=9275 X=543808279 Y=6009781295 Z=81040312066 M=8770
A=8239 B=8050 C=5250 X=964607594 Y=2227284090 Z=36925494469 M=3108
A=6853 B=6441 C=8659 X=374735539 Y=3878940159 Z=50604759899 M=7602
A=4282 B=9623 C=9703 X=562296591 Y=3975808200 Z=73160420153 M=3406
A=9052 B=3351 C=9048 X=747097775 Y=4070564421 Z=78479304824 M=2877
A=6237 B=7488 C=7447 X=275080677 Y=7971004099 Z=82123768905 M=1533
A=5827 B=3806 C=8770 X=845848086 Y=1881545635 Z=87629828856 M=2344
A=8908 B=8616 C=5020 X=605348535 Y=6935856101 Z=18536099318 M=5913
A=5221 B=5210 C=8970 X=543243756 Y=4597963240 Z=85998445323 M=2184
A=8261 B=8109 C=6665 X=384587762 Y=4363313144 Z=53283820644 M=9489
A=2485 B=8323 C=6223 X=599331114 Y=1626110266 Z=58298240689 M=4307
A=5837 B=5212 C=8136 X=886634881 Y=3679891577 Z=72594528282 M=4080
A=9207 B=6676 C=9382 X=373039471 Y=7577942544 Z=81976426898 M=6745
A=5582 B=4598 C=7585 X=889522486 Y=3501377052 Z=71560316536 M=2764
A=6637 B=5829 C=9284 X=842936953 Y=2196534221 Z=70843768517 M=5645
A=7516 B=4334 C=7877 X=840106620 Y=2398192247 Z=31590068618 M=8706
A=3946 B=8492 C=8638 X=597372822 Y=7278418417 Z=30458060065 M=8067
A=2210 B=3550 C=8298 X=718927473 Y=4051461742 Z=91664939648 M=2440
A=2152 B=8490 C=8844 X=999979454 Y=7165628528 Z=82601588932 M=1344
A=8686 B=7408 C=7039 X=703662714 Y=5216471609 Z=20543889609 M=1765
A=2534 B=6178 C=5284 X=930188245 Y=1822777439 Z=10746062769 M=4349
A=4360 B=3388 C=5100 X=459915518 Y=1736870314 Z=54113108708 M=3121
A=7756 B=4875 C=5896 X=835345090 Y=8570707006 Z=62774396192 M=9997
A=6085 B=6779 C=9877 X=631540601 Y=3595569864 Z=78559369814 M=2023
A=7313 B=8544 C=7801 X=591703234 Y=3308922900 Z=23229215620 M=2572
A=3900 B=9218 C=9119 X=442419592 Y=3670521813 Z=57685523269 M=8247
A=6694 B=6270 C=9192 X=678350092 Y=1348560663 Z=46504403583 M=9713
A=4143 B=8925 C=8403 X=143600677 Y=8097297093 Z=49140934833 M=7427
A=8060 B=7297 C=5431 X=747573397 Y=6772156732 Z=36922614224 M=2672
A=4222 B=6127 C=5753 X=781960284 Y=5697765586 Z=83062962888 M=2255
A=4292 B=5904 C=6060 X=401717107 Y=2278984093 Z=83007416928 M=5318
A=2303 B=3771 C=8776 X=503419088 Y=1753868266 Z=94967034883 M=4010
A=5483 B=3015 C=5913 X=503526840 Y=5295805305 Z=13599825744 M=5915
A=3648 B=8512 C=6764 X=603027579 Y=8312281385 Z=55769272653 M=8871
A=3548 B=3122 C=7154 X=330269493 Y=1693099561 Z=13125844462 M=5148
A=5827 B=5905 C=9510 X=675682900 Y=6713902323 Z=50560423588 M=4203
A=2496 B=7985 C=8720 X=740247072 Y=6592428629 Z=19669520075 M=9926
A=7894 B=8008 C=5009 X=336412410 Y=1974452890 Z=25303687623 M=4796
A=5500 B=4700 C=6198 X=479092501 Y=1922503472 Z=80198261839 M=1629
A=3828 B=9295 C=6307 X=912726771 Y=3497217134 Z=79521114834 M=3451
A=6736 B=6521 C=8070 X=283998141 Y=8847924179 Z=52980525317 M=1184
A=4263 B=4993 C=7179 X=336916150 Y=9987880760 Z=83931201489 M=8604
A=3235 B=3029 C=5809 X=265859668 Y=2059157755 Z=58952398598 M=5483
A=6040 B=6969 C=8327 X=110229535 Y=8816342529 Z=89391268230 M=6846
A=7250 B=9282 C=5448 X=427628573 Y=5281257391 Z=95700343519 M=7764
A=9269 B=6059 C=8014 X=202726875 Y=1231351863 Z=45208326014 M=5608
A=2292 B=5722 C=7670 X=132503954 Y=8803870411 Z=13208142973 M=4384
A=6975 B=6881 C=7369 X=408556529 Y=9059368435 Z=55021370195 M=3004
A=9681 B=3107 C=7165 X=555462467 Y=6522560266 Z=55850175689 M=9977
A=2701 B=6267 C=9254 X=807233483 Y=8456937355 Z=69678663232 M=5318
A=3453 B=4397 C=8093 X=286252189 Y=5278554350 Z=89970567612 M=5181
A=6023 B=7727 C=9153 X=882023269 Y=1837247536 Z=57801043561 M=4541
A=2581 B=3104 C=7766 X=152469758 Y=9431955635 Z=85155306625 M=1238
A=2903 B=3535 C=6181 X=434263949 Y=2047960542 Z=79694405675 M=8987
A=2625 B=6100 C=5190 X=826184795 Y=6850725008 Z=28714110256 M=1224
A=9940 B=4008 C=9656 X=930223566 Y=5198892854 Z=96093360318 M=3287
A=2105 B=5237 C=8840 X=834643073 Y=7758053619 Z=27402512260 M=7224
A=7077 B=5796 C=9596 X=484847099 Y=9064197962 Z=64221363721 M=8850
A=9652 B=7183 C=7924 X=464709491 Y=7298931201 Z=38500642032 M=5245
A=6679 B=4864 C=9388 X=683857914 Y=8089755381 Z=47606524413 M=1044
A=8319 B=9795 C=7550 X=936536586 Y=2173244341 Z=77630090458 M=5928
A=8064 B=9072 C=9760 X=999195461 Y=4595595408 Z=84824853574 M=3747
A=4154 B=9511 C=6614 X=966211870 Y=8407428646 Z=52274916571 M=3249
A=7667 B=8664 C=8718 X=366823912 Y=7401149116 Z=64241956955 M=8864
A=5070 B=5141 C=5467 X=151192986 Y=8799628265 Z=41525059837 M=3116
A=9209 B=4218 C=6390 X=388173266 Y=3792653717 Z=98121040445 M=8734
A=7209 B=9486 C=7688 X=883232551 Y=6819712580 Z=66294696154 M=1395
A=5039 B=5233 C=5962 X=231250429 Y=8553127205 Z=67197827608 M=4358
A=9624 B=5489 C=8881 X=111502487 Y=2505447680 Z=77489196961 M=1859
A=6917 B=7167 C=6108 X=542205542 Y=4943839514 Z=13537199067 M=5800
A=2836 B=7977 C=8249 X=851027612 Y=6718304794 Z=62979797364 M=1059
A=6609 B=3344 C=6433 X=137518804 Y=2369006563 Z=92386067179 M=4166
A=8940 B=3808 C=8176 X=853987256 Y=9417797484 Z=84167647527 M=5129
A=3170 B=3362 C=8286 X=279463562 Y=1296493380 Z=57437646426 M=5941
A=6722 B=7503 C=7121 X=795569731 Y=1880059267 Z=11160425673 M=2567
A=5318 B=3867 C=8326 X=437326946 Y=8673156566 Z=83094717151 M=7267
A=8987 B=8325 C=9321 X=205577924 Y=8754075071 Z=65332880830 M=1370
A=8368 B=3718 C=5761 X=100031551 Y=9457666157 Z=38577528233 M=6458
A=9255 B=4969 C=6116 X=190501185 Y=9313602170 Z=46425951877 M=8373
A=5296 B=8585 C=5993 X=258719624 Y=7914033859 Z=79333209070 M=1058
A=7708 B=3728 C=7155 X=424384937 Y=3357947796 Z=78717556251 M=8172
A=3844 B=5530 C=6415 X=868168599 Y=7476576663 Z=50347646711 M=2404
A=8671 B=3987 C=8683 X=559801573 Y=6291384866 Z=58697548561 M=5705
A=9669 B=5514 C=9349 X=839313024 Y=1074296879 Z=72775862186 M=2248
A=3736 B=9688 C=9473 X=592199985 Y=1739584223 Z=52469189091 M=9301
A=2196 B=8998 C=6149 X=192535413 Y=2120615543 Z=27357778948 M=8607
A=7445 B=6169 C=8859 X=435285432 Y=9375036123 Z=70379924159 M=2120
A=9110 B=9063 C=5266 X=694034965 Y=4989415739 Z=94007286628 M=4961
A=5962 B=4169 C=7756 X=617118080 Y=7500796607 Z=42243537467 M=6258
A=9372 B=9774 C=5295 X=376587410 Y=2337334241 Z=48626508427 M=8079
A=3555 B=9262 C=7157 X=815145066 Y=1124960600 Z=19462410460 M=4457
A=3428 B=9828 C=8951 X=582565934 Y=9297509632 Z=76084221994 M=7052
A=6786 B=4736 C=9404 X=551637420 Y=3737839522 Z=99765098957 M=2260
A=9245 B=6162 C=9360 X=258086405 Y=2759466451 Z=98375272309 M=8242
A=7885 B=5520 C=8591 X=460917769 Y=3552830730 Z=48385627570 M=9200
A=9146 B=6628 C=8288 X=509343647 Y=1588877044 Z=35947288777 M=9043
A=7344 B=5285 C=8291 X=443027749 Y=7905743307 Z=66660367865 M=6551
A=3564 B=9297 C=7927 X=879497227 Y=4776504341 Z=21402263984 M=6722
A=7763 B=6936 C=7454 X=211753579 Y=5025432676 Z=91699397086 M=6259
A=6542 B=5759 C=5053 X=796579421 Y=6280826984 Z=67453763867 M=5573
A=8300 B=7358 C=6973 X=156919477 Y=1142286801 Z=39071350257 M=3621
A=6678 B=7690 C=6480 X=460194668 Y=9478981048 Z=20158840980 M=2052
